Retriever,MRR@10,Avg ms/query
HybridRetriever,0.3636575396825393,0.21775750567080104
BM25Retriever,0.20922261904761902,0.06768508578903856
TFIDFRetriever,0.31076071428571395,0.02158540670287039
DenseRetriever,0.4800785714285707,0.01214021104099811
